post_id	date	num_likes	num_angry	num_shares
96033897836_10158308152892837	2018-08-10T04:31:28+0000	356	11	93
96033897836_10158308112517837	2018-08-10T04:17:43+0000	251	2	56
96033897836_10158308067212837	2018-08-10T03:54:53+0000	744	6	217
96033897836_10158308050287837	2018-08-10T03:46:15+0000	568	10	165
96033897836_10158308004277837	2018-08-10T03:23:39+0000	334	3	80
96033897836_10158307985607837	2018-08-10T03:16:34+0000	1266	21	489
96033897836_10158307934872837	2018-08-10T02:53:26+0000	699	6	232
96033897836_10158307743767837	2018-08-10T01:48:33+0000	1695	91	678
96033897836_10158306943432837	2018-08-09T22:24:39+0000	1241	25	439
96033897836_10158303693392837	2018-08-09T13:30:00+0000	1043	31	491
96033897836_10158303492902837	2018-08-08T21:40:00+0000	1927	43	1286
96033897836_10158303381502837	2018-08-08T19:32:02+0000	1118	30	356
96033897836_10158301389557837	2018-08-08T03:33:27+0000	946	16	271
96033897836_10158300542727837	2018-08-07T23:12:07+0000	1266	22	571
96033897836_10158296268332837	2018-08-07T13:30:01+0000	708	7	221
96033897836_10158297289797837	2018-08-06T22:28:49+0000	140	19	48
96033897836_10158296533517837	2018-08-06T17:58:28+0000	817	10	241
96033897836_10158293755092837	2018-08-05T19:54:50+0000	876	19	202
96033897836_10158291038137837	2018-08-05T14:30:00+0000	1045	18	265
96033897836_10158290211342837	2018-08-04T19:23:30+0000	1850	41	999
96033897836_10158289609062837	2018-08-04T15:52:39+0000	20	1	16
96033897836_10158288949747837	2018-08-04T14:49:13+0000	3366	1180	1526
96033897836_10158286938602837	2018-08-03T19:10:39+0000	693	11	84
96033897836_10158286027577837	2018-08-03T14:03:51+0000	1049	19	358
96033897836_10158285771957837	2018-08-03T12:02:07+0000	1288	26	293
